disciplina;curso;ano;tema;habilidade_codigo;texto_oficial;agrupamento_fonte
Arte;Ensino Fundamental II;6º ano;Elementos da linguagem;EF69AR11;Experimentar e analisar os fatores de movimento (tempo, peso, fluência e espaço) como elementos que, combinados, geram as ações corporais e o movimento dançado.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Processos de criação;EF69AR12;Investigar e experimentar procedimentos de improvisação e criação do movimento como fonte para a construção de vocabulários e repertórios próprios.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Processos de criação;EF69AR13;Investigar brincadeiras, jogos, danças coletivas e outras práticas de dança de diferentes matrizes estéticas e culturais como referência para a criação e a composição de danças autorais, individualmente e em grupo.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Processos de criação;EF69AR14;Analisar e experimentar diferentes elementos (figurino, iluminação, cenário, trilha sonora etc.) e espaços (convencionais e não convencionais) para composição cênica e apresentação coreográfica.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Processos de criação;EF69AR15;Discutir as experiências pessoais e coletivas em dança vivenciadas na escola e em outros contextos, problematizando estereótipos e preconceitos.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Contextos e práticas;EF69AR16;Analisar criticamente, por meio da apreciação musical, usos e funções da música em seus contextos de produção e circulação, relacionando as práticas musicais às diferentes dimensões da vida social, cultural, política, histórica, econômica, estética e ética.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Contextos e práticas;EF69AR17;Explorar e analisar, criticamente, diferentes meios e equipamentos culturais de circulação da música e do conhecimento musical.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Contextos e práticas;EF69AR18;Reconhecer e apreciar o papel de músicos e grupos de música brasileiros e estrangeiros que contribuíram para o desenvolvimento de formas e gêneros musicais.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Contextos e práticas;EF69AR19;Identificar e analisar diferentes estilos musicais, contextualizando-os no tempo e no espaço, de modo a aprimorar a capacidade de apreciação da estética musical.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Elementos da linguagem;EF69AR20;Explorar e analisar elementos constitutivos da música (altura, intensidade, timbre, melodia, ritmo etc.), por meio de recursos tecnológicos (games e plataformas digitais), jogos, canções e práticas diversas de composição/criação, execução e apreciação musicais.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Materialidades;EF69AR21;Explorar e analisar fontes e materiais sonoros em práticas de composição/criação, execução e apreciação musical, reconhecendo timbres e características de instrumentos musicais diversos.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Notação e registro musical;EF69AR22;Explorar e identificar diferentes formas de registro musical (notação musical tradicional, partituras criativas e procedimentos da música contemporânea), bem como procedimentos e técnicas de registro em áudio e audiovisual.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Processos de criação;EF69AR23;Explorar e criar improvisações, composições, arranjos, jingles, trilhas sonoras, entre outros, utilizando vozes, sons corporais e/ou instrumentos acústicos ou eletrônicos, convencionais ou não convencionais, expressando ideias musicais de maneira individual, coletiva e colaborativa.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Contextos e práticas;EF69AR24;Reconhecer e apreciar artistas e grupos de teatro brasileiros e estrangeiros de diferentes épocas, investigando os modos de criação, produção, divulgação, circulação e organização da atuação profissional em teatro.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Contextos e práticas;EF69AR25;Identificar e analisar diferentes estilos cênicos, contextualizando-os no tempo e no espaço de modo a aprimorar a capacidade de apreciação da estética teatral.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Elementos da linguagem;EF69AR26;Explorar diferentes elementos envolvidos na composição dos acontecimentos cênicos (figurinos, adereços, cenário, iluminação e sonoplastia) e reconhecer seus vocabulários.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Processos de criação;EF69AR27;Pesquisar e criar formas de dramaturgias e espaços cênicos para o acontecimento teatral, em diálogo com o teatro contemporâneo.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Processos de criação;EF69AR28;Investigar e experimentar diferentes funções teatrais e discutir os limites e desafios do trabalho artístico coletivo e colaborativo.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Processos de criação;EF69AR29;Experimentar a gestualidade e as construções corporais e vocais de maneira imaginativa na improvisação teatral e no jogo cênico.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Processos de criação;EF69AR30;Compor improvisações e acontecimentos cênicos com base em textos dramáticos ou outros estímulos (música, imagens, objetos etc.), caracterizando personagens (com figurinos e adereços), cenário, iluminação e sonoplastia e considerando a relação com o espectador.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Contextos e práticas;EF69AR31;Relacionar as práticas artísticas às diferentes dimensões da vida social, cultural, política, histórica, econômica, estética e ética.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Processos de criação;EF69AR32;Analisar e explorar, em projetos temáticos, as relações processuais entre diversas linguagens artísticas.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Matrizes estéticas e culturais;EF69AR33;Analisar aspectos históricos, sociais e políticos da produção artística, problematizando as narrativas eurocêntricas e as diversas categorizações da arte (arte, artesanato, folclore, design etc.).;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Patrimônio cultural;EF69AR34;Analisar e valorizar o patrimônio cultural, material e imaterial, de culturas diversas, em especial a brasileira, incluindo suas matrizes indígenas, africanas e europeias, de diferentes épocas, e favorecendo a construção de vocabulário e repertório relativos às diferentes linguagens artísticas.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Arte e tecnologia;EF69AR35;Identificar e manipular diferentes tecnologias e recursos digitais para acessar, apreciar, produzir, registrar e compartilhar práticas e repertórios artísticos, de modo reflexivo, ético e responsável.;objeto_conhecimento
Ciências;Ensino Fundamental II;6º ano;Matéria e energia;EF06CI01;Classificar como homogênea ou heterogênea a mistura de dois ou mais materiais (água e sal, água e óleo, água e areia etc.).;unidade_tematica
Ciências;Ensino Fundamental II;6º ano;Matéria e energia;EF06CI02;Identificar evidências de transformações químicas a partir do resultado de misturas de materiais que originam produtos diferentes dos que foram misturados (mistura de ingredientes para fazer um bolo, mistura de vinagre com bicarbonato de sódio etc.).;unidade_tematica
Ciências;Ensino Fundamental II;6º ano;Matéria e energia;EF06CI03;Selecionar métodos mais adequados para a separação de diferentes sistemas heterogêneos a partir da identificação de processos de separação de materiais (como a produção de sal de cozinha, a destilação de petróleo, entre outros).;unidade_tematica
Ciências;Ensino Fundamental II;6º ano;Matéria e energia;EF06CI04;Associar a produção de medicamentos e outros materiais sintéticos ao desenvolvimento científico e tecnológico, reconhecendo benefícios e avaliando impactos socioambientais.;unidade_tematica
Ciências;Ensino Fundamental II;6º ano;Vida e evolução;EF06CI05;Explicar a organização básica das células e seu papel como unidade estrutural e funcional dos seres vivos.;unidade_tematica
Ciências;Ensino Fundamental II;6º ano;Vida e evolução;EF06CI06;Concluir, com base na análise de ilustrações e/ou modelos (físicos ou digitais), que os organismos são um complexo arranjo de sistemas com diferentes níveis de organização.;unidade_tematica
Ciências;Ensino Fundamental II;6º ano;Vida e evolução;EF06CI07;Justificar o papel do sistema nervoso na coordenação das ações motoras e sensoriais do corpo, com base na análise de suas estruturas básicas e respectivas funções.;unidade_tematica
Ciências;Ensino Fundamental II;6º ano;Vida e evolução;EF06CI08;Explicar a importância da visão (captação e interpretação das imagens) na interação do organismo com o meio e, com base no funcionamento do olho humano, selecionar lentes adequadas para a correção de diferentes defeitos da visão.;unidade_tematica
Ciências;Ensino Fundamental II;6º ano;Vida e evolução;EF06CI09;Deduzir que a estrutura, a sustentação e a movimentação dos animais resultam da interação entre os sistemas muscular, ósseo e nervoso.;unidade_tematica
Ciências;Ensino Fundamental II;6º ano;Vida e evolução;EF06CI10;Explicar como o funcionamento do sistema nervoso pode ser afetado por substâncias psicoativas.;unidade_tematica
Ciências;Ensino Fundamental II;6º ano;Forma, estrutura e movimentos da Terra;EF06CI11;Identificar as diferentes camadas que estruturam o planeta Terra (da estrutura interna à atmosfera) e suas principais características.;objeto_conhecimento
Ciências;Ensino Fundamental II;6º ano;Forma, estrutura e movimentos da Terra;EF06CI12;Identificar diferentes tipos de rocha, relacionando a formação de fósseis a rochas sedimentares em diferentes períodos geológicos.;objeto_conhecimento
Ciências;Ensino Fundamental II;6º ano;Forma, estrutura e movimentos da Terra;EF06CI13;Selecionar argumentos e evidências que demonstrem a esfericidade da Terra.;objeto_conhecimento
Ciências;Ensino Fundamental II;6º ano;Forma, estrutura e movimentos da Terra;EF06CI14;Inferir que as mudanças na sombra de uma vara (gnômon) ao longo do dia em diferentes períodos do ano são uma evidência dos movimentos relativos entre a Terra e o Sol, que podem ser explicados por meio dos movimentos de rotação e translação da Terra e da inclinação de seu eixo de rotação em relação ao plano de sua órbita em torno do Sol.;objeto_conhecimento
Educação Física;Ensino Fundamental II;6º ano;Jogos eletrônicos;EF67EF01;Experimentar e fruir, na escola e fora dela, jogos eletrônicos diversos, valorizando e respeitando os sentidos e significados atribuídos a eles por diferentes grupos sociais e etários.;objeto_conhecimento
Educação Física;Ensino Fundamental II;6º ano;Jogos eletrônicos;EF67EF02;Identificar as transformações nas características dos jogos eletrônicos em função dos avanços das tecnologias e nas respectivas exigências corporais colocadas por esses diferentes tipos de jogos.;objeto_conhecimento
Educação Física;Ensino Fundamental II;6º ano;Esportes;EF67EF03;Experimentar e fruir esportes de marca, precisão, invasão e técnico-combinatórios, valorizando o trabalho coletivo e o protagonismo.;unidade_tematica
Educação Física;Ensino Fundamental II;6º ano;Esportes;EF67EF04;Praticar um ou mais esportes de marca, precisão, invasão e técnico-combinatórios oferecidos pela escola, usando habilidades técnico-táticas básicas e respeitando regras.;unidade_tematica
Educação Física;Ensino Fundamental II;6º ano;Esportes;EF67EF05;Planejar e utilizar estratégias para solucionar os desafios técnicos e táticos, tanto nos esportes de marca, precisão, invasão e técnico-combinatórios como nas modalidades esportivas escolhidas para praticar de forma específica.;unidade_tematica
Educação Física;Ensino Fundamental II;6º ano;Esportes;EF67EF06;Analisar as transformações na organização e na prática dos esportes em suas diferentes manifestações (profissional e comunitário/lazer).;unidade_tematica
Educação Física;Ensino Fundamental II;6º ano;Esportes;EF67EF07;Propor e produzir alternativas para experimentação dos esportes não disponíveis e/ou acessíveis na comunidade e das demais práticas corporais tematizadas na escola.;unidade_tematica
Educação Física;Ensino Fundamental II;6º ano;Ginástica de condicionamento físico;EF67EF08;Experimentar e fruir exercícios físicos que solicitem diferentes capacidades físicas, identificando seus tipos (força, velocidade, resistência, flexibilidade) e as sensações corporais provocadas pela sua prática.;objeto_conhecimento
Educação Física;Ensino Fundamental II;6º ano;Ginástica de condicionamento físico;EF67EF09;Construir, coletivamente, procedimentos e normas de convívio que viabilizem a participação de todos na prática de exercícios físicos, com o objetivo de promover a saúde.;objeto_conhecimento
Educação Física;Ensino Fundamental II;6º ano;Ginástica de condicionamento físico;EF67EF10;Diferenciar exercício físico de atividade física e propor alternativas para a prática de exercícios físicos dentro e fora do ambiente escolar.;objeto_conhecimento
Educação Física;Ensino Fundamental II;6º ano;Danças urbanas;EF67EF11;Experimentar, fruir e recriar danças urbanas, identificando seus elementos constitutivos (ritmo, espaço, gestos).;objeto_conhecimento
Educação Física;Ensino Fundamental II;6º ano;Danças urbanas;EF67EF12;Planejar e utilizar estratégias para aprender elementos constitutivos das danças urbanas.;objeto_conhecimento
Educação Física;Ensino Fundamental II;6º ano;Danças urbanas;EF67EF13;Diferenciar as danças urbanas das demais manifestações da dança, valorizando e respeitando os sentidos e significados atribuídos a eles por diferentes grupos sociais.;objeto_conhecimento
Educação Física;Ensino Fundamental II;6º ano;Lutas do Brasil;EF67EF14;Experimentar, fruir e recriar diferentes lutas do Brasil, valorizando a própria segurança e integridade física, bem como as dos demais.;objeto_conhecimento
Educação Física;Ensino Fundamental II;6º ano;Lutas do Brasil;EF67EF15;Planejar e utilizar estratégias básicas das lutas do Brasil, respeitando o colega como oponente.;objeto_conhecimento
Educação Física;Ensino Fundamental II;6º ano;Lutas do Brasil;EF67EF16;Identificar as características (códigos, rituais, elementos técnico-táticos, indumentária, materiais, instalações, instituições) das lutas do Brasil.;objeto_conhecimento
Educação Física;Ensino Fundamental II;6º ano;Lutas do Brasil;EF67EF17;Problematizar preconceitos e estereótipos relacionados ao universo das lutas e demais práticas corporais, propondo alternativas para superá-los, com base na solidariedade, na justiça, na equidade e no respeito.;objeto_conhecimento
Educação Física;Ensino Fundamental II;6º ano;Práticas corporais de aventura urbanas;EF67EF18;Experimentar e fruir diferentes práticas corporais de aventura urbanas, valorizando a própria segurança e integridade física, bem como as dos demais.;objeto_conhecimento
Educação Física;Ensino Fundamental II;6º ano;Práticas corporais de aventura urbanas;EF67EF19;Identificar os riscos durante a realização de práticas corporais de aventura urbanas e planejar estratégias para sua superação.;objeto_conhecimento
Educação Física;Ensino Fundamental II;6º ano;Práticas corporais de aventura urbanas;EF67EF20;Executar práticas corporais de aventura urbanas, respeitando o patrimônio público e utilizando alternativas para a prática segura em diversos espaços.;objeto_conhecimento
Educação Física;Ensino Fundamental II;6º ano;Práticas corporais de aventura urbanas;EF67EF21;Identificar a origem das práticas corporais de aventura e as possibilidades de recriá-las, reconhecendo as características (instrumentos, equipamentos de segurança, indumentária, organização) e seus tipos de práticas.;objeto_conhecimento
Geografia;Ensino Fundamental II;6º ano;Identidade sociocultural;EF06GE01;Comparar modificações das paisagens nos lugares de vivência e os usos desses lugares em diferentes tempos.;objeto_conhecimento
Geografia;Ensino Fundamental II;6º ano;Identidade sociocultural;EF06GE02;Analisar modificações de paisagens por diferentes tipos de sociedade, com destaque para os povos originários.;objeto_conhecimento
Geografia;Ensino Fundamental II;6º ano;Relações entre os componentes físico-naturais;EF06GE03;Descrever os movimentos do planeta e sua relação com a circulação geral da atmosfera, o tempo atmosférico e os padrões climáticos.;objeto_conhecimento
Geografia;Ensino Fundamental II;6º ano;Relações entre os componentes físico-naturais;EF06GE04;Descrever o ciclo da água, comparando o escoamento superficial no ambiente urbano e rural, reconhecendo os principais componentes da morfologia das bacias e das redes hidrográficas e a sua localização no modelado da superfície terrestre e da cobertura vegetal.;objeto_conhecimento
Geografia;Ensino Fundamental II;6º ano;Relações entre os componentes físico-naturais;EF06GE05;Relacionar padrões climáticos, tipos de solo, relevo e formações vegetais.;objeto_conhecimento
Geografia;Ensino Fundamental II;6º ano;Transformação das paisagens naturais e antrópicas;EF06GE06;Identificar as características das paisagens transformadas pelo trabalho humano a partir do desenvolvimento da agropecuária e do processo de industrialização.;objeto_conhecimento
Geografia;Ensino Fundamental II;6º ano;Transformação das paisagens naturais e antrópicas;EF06GE07;Explicar as mudanças na interação humana com a natureza a partir do surgimento das cidades.;objeto_conhecimento
Geografia;Ensino Fundamental II;6º ano;Fenômenos naturais e sociais representados de diferentes maneiras;EF06GE08;Medir distâncias na superfície pelas escalas gráficas e numéricas dos mapas.;objeto_conhecimento
Geografia;Ensino Fundamental II;6º ano;Fenômenos naturais e sociais representados de diferentes maneiras;EF06GE09;Elaborar modelos tridimensionais, blocos-diagramas e perfis topográficos e de vegetação, visando à representação de elementos e estruturas da superfície terrestre.;objeto_conhecimento
Geografia;Ensino Fundamental II;6º ano;Biodiversidade e ciclo hidrológico;EF06GE10;Explicar as diferentes formas de uso do solo (rotação de terras, terraceamento, aterros etc.) e de apropriação dos recursos hídricos (sistema de irrigação, tratamento e redes de distribuição), bem como suas vantagens e desvantagens em diferentes épocas e lugares.;objeto_conhecimento
Geografia;Ensino Fundamental II;6º ano;Biodiversidade e ciclo hidrológico;EF06GE11;Analisar distintas interações das sociedades com a natureza, com base na distribuição dos componentes físico-naturais, incluindo as transformações da biodiversidade local e do mundo.;objeto_conhecimento
Geografia;Ensino Fundamental II;6º ano;Biodiversidade e ciclo hidrológico;EF06GE12;Identificar o consumo dos recursos hídricos e o uso das principais bacias hidrográficas no Brasil e no mundo, enfatizando as transformações nos ambientes urbanos.;objeto_conhecimento
Geografia;Ensino Fundamental II;6º ano;Atividades humanas e dinâmica climática;EF06GE13;Analisar consequências, vantagens e desvantagens das práticas humanas na dinâmica climática (ilha de calor etc.).;objeto_conhecimento
História;Ensino Fundamental II;6º ano;A questão do tempo, sincronias e diacronias: reflexões sobre o sentido das cronologias;EF06HI01;Identificar diferentes formas de compreensão da noção de tempo e de periodização dos processos históricos (continuidades e rupturas).;objeto_conhecimento
História;Ensino Fundamental II;6º ano;Formas de registro da história e da produção do conhecimento histórico;EF06HI02;Identificar a gênese da produção do saber histórico e analisar o significado das fontes que originaram determinadas formas de registro em sociedades e épocas distintas.;objeto_conhecimento
História;Ensino Fundamental II;6º ano;As origens da humanidade, seus deslocamentos e os processos de sedentarização;EF06HI03;Identificar as hipóteses científicas sobre o surgimento da espécie humana e sua historicidade e analisar os significados dos mitos de fundação.;objeto_conhecimento
História;Ensino Fundamental II;6º ano;As origens da humanidade, seus deslocamentos e os processos de sedentarização;EF06HI04;Conhecer as teorias sobre a origem do homem americano.;objeto_conhecimento
História;Ensino Fundamental II;6º ano;As origens da humanidade, seus deslocamentos e os processos de sedentarização;EF06HI05;Descrever modificações da natureza e da paisagem realizadas por diferentes tipos de sociedade, com destaque para os povos indígenas originários e povos africanos, e discutir a natureza e a lógica das transformações ocorridas.;objeto_conhecimento
História;Ensino Fundamental II;6º ano;As origens da humanidade, seus deslocamentos e os processos de sedentarização;EF06HI06;Identificar geograficamente as rotas de povoamento no território americano.;objeto_conhecimento
História;Ensino Fundamental II;6º ano;A invenção do mundo clássico e o contraponto com outras sociedades;EF06HI07;Identificar aspectos e formas de registro das sociedades antigas na África, no Oriente Médio e nas Américas, distinguindo alguns significados presentes na cultura material e na tradição oral dessas sociedades.;unidade_tematica
História;Ensino Fundamental II;6º ano;A invenção do mundo clássico e o contraponto com outras sociedades;EF06HI08;Identificar os espaços territoriais ocupados e os aportes culturais, científicos, sociais e econômicos dos astecas, maias e incas e dos povos indígenas de diversas regiões brasileiras.;unidade_tematica
História;Ensino Fundamental II;6º ano;O Ocidente Clássico: aspectos da cultura na Grécia e em Roma;EF06HI09;Discutir o conceito de Antiguidade Clássica, seu alcance e limite na tradição ocidental, assim como os impactos sobre outras sociedades e culturas.;objeto_conhecimento
História;Ensino Fundamental II;6º ano;Lógicas de organização política;EF06HI10;Explicar a formação da Grécia Antiga, com ênfase na formação da pólis e nas transformações políticas, sociais e culturais.;unidade_tematica
História;Ensino Fundamental II;6º ano;Lógicas de organização política;EF06HI11;Caracterizar o processo de formação da Roma Antiga e suas configurações sociais e políticas nos períodos monárquico e republicano.;unidade_tematica
História;Ensino Fundamental II;6º ano;Lógicas de organização política;EF06HI12;Associar o conceito de cidadania a dinâmicas de inclusão e exclusão na Grécia e Roma antigas.;unidade_tematica
História;Ensino Fundamental II;6º ano;Lógicas de organização política;EF06HI13;Conceituar “império” no mundo antigo, com vistas à análise das diferentes formas de equilíbrio e desequilíbrio entre as partes envolvidas.;unidade_tematica
História;Ensino Fundamental II;6º ano;Lógicas de organização política;EF06HI14;Identificar e analisar diferentes formas de contato, adaptação ou exclusão entre populações em diferentes tempos e espaços.;unidade_tematica
História;Ensino Fundamental II;6º ano;O Mediterrâneo como espaço de interação entre as sociedades da Europa, da África e do Oriente Médio;EF06HI15;Descrever as dinâmicas de circulação de pessoas, produtos e culturas no Mediterrâneo e seu significado.;objeto_conhecimento
História;Ensino Fundamental II;6º ano;Trabalho e formas de organização social e cultural;EF06HI16;Caracterizar e comparar as dinâmicas de abastecimento e as formas de organização do trabalho e da vida social em diferentes sociedades e períodos, com destaque para as relações entre senhores e servos.;unidade_tematica
História;Ensino Fundamental II;6º ano;Trabalho e formas de organização social e cultural;EF06HI17;Diferenciar escravidão, servidão e trabalho livre no mundo antigo.;unidade_tematica
História;Ensino Fundamental II;6º ano;O papel da religião cristã, dos mosteiros e da cultura na Idade Média;EF06HI18;Analisar o papel da religião cristã na cultura e nos modos de organização social no período medieval.;objeto_conhecimento
História;Ensino Fundamental II;6º ano;O papel da mulher na Grécia e em Roma, e no período medieval;EF06HI19;Descrever e analisar os diferentes papéis sociais das mulheres no mundo antigo e nas sociedades medievais.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Construção de laços afetivos e convívio social;EF06LI01;Interagir em situações de intercâmbio oral, demonstrando iniciativa para utilizar a língua inglesa.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Construção de laços afetivos e convívio social;EF06LI02;Coletar informações do grupo, perguntando e respondendo sobre a família, os amigos, a escola e a comunidade..;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Funções e usos da língua inglesa em sala de aula (Classroom language);EF06LI03;Solicitar esclarecimentos em língua inglesa sobre o que não entendeu e o significado de palavras ou expressões desconhecidas.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Estratégias de compreensão de textos orais: palavras cognatas e pistas do contexto discursivo;EF06LI04;Reconhecer, com o apoio de palavras cognatas e pistas do contexto discursivo, o assunto e as informações principais em textos orais sobre temas familiares.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Produção de textos orais, com a mediação do professor;EF06LI05;Aplicar os conhecimentos da língua inglesa para falar de si e de outras pessoas, explicitando informações pessoais e características relacionadas a gostos, preferências e rotinas.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Produção de textos orais, com a mediação do professor;EF06LI06;Planejar apresentação sobre a família, a comunidade e a escola, compartilhando-a oralmente com o grupo.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Hipóteses sobre a finalidade de um texto;EF06LI07;Formular hipóteses sobre a finalidade de um texto em língua inglesa, com base em sua estrutura, organização textual e pistas gráficas.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Compreensão geral e específica: leitura rápida (skimming, scanning);EF06LI08;Identificar o assunto de um texto, reconhecendo sua organização textual e palavras cognatas.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Compreensão geral e específica: leitura rápida (skimming, scanning);EF06LI09;Localizar informações específicas em texto.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Construção de repertório lexical e autonomia leitora;EF06LI10;Conhecer a organização de um dicionário bilíngue (impresso e/ou on-line) para construir repertório lexical.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Construção de repertório lexical e autonomia leitora;EF06LI11;Explorar ambientes virtuais e/ou aplicativos para construir repertório lexical na língua inglesa.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Partilha de leitura, com mediação do professor;EF06LI12;Interessar-se pelo texto lido, compartilhando suas ideias sobre o que o texto informa/comunica.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Planejamento do texto: brainstorming;EF06LI13;Listar ideias para a produção de textos, levando em conta o tema e o assunto.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Planejamento do texto: organização de ideias;EF06LI14;Organizar ideias, selecionando-as em função da estrutura e do objetivo do texto.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Produção de textos escritos, em formatos diversos, com a mediação do professor;EF06LI15;Produzir textos escritos em língua inglesa (histórias em quadrinhos, cartazes, chats, blogues, agendas, fotolegendas, entre outros), sobre si mesmo, sua família, seus amigos, gostos, preferências e rotinas, sua comunidade e seu contexto escolar.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Construção de repertório lexical;EF06LI16;Construir repertório relativo às expressões usadas para o convívio social e o uso da língua inglesa em sala de aula.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Construção de repertório lexical;EF06LI17;Construir repertório lexical relativo a temas familiares (escola, família, rotina diária, atividades de lazer, esportes, entre outros).;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Pronúncia;EF06LI18;Reconhecer semelhanças e diferenças na pronúncia de palavras da língua inglesa e da língua materna e/ou outras línguas conhecidas.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Presente simples e contínuo (formas afirmativa, negativa e interrogativa);EF06LI19;Utilizar o presente do indicativo para identificar pessoas (verbo to be) e descrever rotinas diárias.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Presente simples e contínuo (formas afirmativa, negativa e interrogativa);EF06LI20;Utilizar o presente contínuo para descrever ações em progresso.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Imperativo;EF06LI21;Reconhecer o uso do imperativo em enunciados de atividades, comandos e instruções.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Caso genitivo (‘s);EF06LI22;Descrever relações por meio do uso de apóstrofo (’) + s.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Adjetivos possessivos;EF06LI23;Empregar, de forma inteligível, os adjetivos possessivos.;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Países que têm a língua inglesa como língua materna e/ou oficial;EF06LI24;Investigar o alcance da língua inglesa no mundo: como língua materna e/ou oficial (primeira ou segunda língua).;objeto_conhecimento
Inglês;Ensino Fundamental II;6º ano;Presença da língua inglesa no cotidiano;EF06LI25;Identificar a presença da língua inglesa na sociedade brasileira/comunidade (palavras, expressões, suportes e esferas de circulação e consumo) e seu significado.;objeto_conhecimento
